plan_id,plan_date,plant_id,yard_id,customer_id,region,product_cat,product_grade,priority_tier,priority_score,mode_pref,distance_km,rail_speed_kmph,transit_hours,lp_tph,lp_cutoff_active,lp_shift_util,effective_lp_tph,siding_slots,inventory_t,production_forecast_t,order_demand_t,sla_days,lead_days,rake_available,rake_type,wagons_available,wagon_type,route_block_hours,min_rake_tonnage,planned_qty_t,load_hours,siding_queue_hours,expected_demurrage,utilization_pct,terminal_cost,late_penalty_per_t_day,road_cost_per_t_km,rail_cost_total,road_cost_total,choose_rail_label,selected_for_rake_label,on_time_label
PLANXAJI0Y,13-04-2025,P_BSP,CMO_MUMBAI,CUST0300,West,Slab,CR,Normal,34.1,Rail,1109,54.4,17.1,1214.5,0,0.79,1152,4,2811.5,1196.7,2321.5,1,6,1,RT59,36,BRN,7,2750,2321.5,2.02,8.89,30908.13,60.5,66318.29,183.1224254,1.133198801,2957434.59,2917469.61,0,0,0
PLAN6DPBHS,14-04-2025,P_BSP,CMO_MUMBAI,CUST0315,West,Slab,HB,Normal,48.1,Rail,1090,42.6,25.3,858.8,0,0.8,816.2,1,2060.4,1447.8,2503.8,6,4,0,RT59,30,BRN,3,2750,2503.8,3.07,5.97,17095.5,65.3,54690.36,189.5825498,1.729974738,2954069.95,4721346.72,1,0,1
PLANAHXTHV,15-04-2025,P_BSP,CMO_MUMBAI,CUST0024,West,Plate,S1,VIP,102.8,Rail,188,34.6,11.2,1204.5,0,0.61,1087.5,5,1016.2,0,1202.7,4,5,1,RT58,63,BCNHL,0,2700,1016.2,0.93,1.38,0,28.3,75587.69,158.9324524,1.357785189,667217.83,259398.89,0,0,1
PLAN3A3ZMF,16-04-2025,P_BSP,CMO_BHOPAL,CUST0342,Central,Slab,HB,Normal,47.5,Rail,626,34,18.3,1068.4,0,0.64,971.9,3,1692.7,392.9,1513.5,9,6,1,RT59,62,BOST,11,2750,1513.5,1.56,7.06,27510.35,42.8,64463.25,186.1977921,1.388330726,1289426.83,1315375.33,1,0,1
PLAN8MDD4V,17-04-2025,P_BSP,CMO_MUMBAI,CUST0257,West,Coil,TMT,High,97.5,Rail,1142,48.4,27.3,767.9,0,0.73,716.8,3,1565.9,855.5,1534,8,5,1,RT58,63,BCNHL,1,2700,1534,2.14,9.91,24403.31,42.7,82494.82,192.2878478,1.644547216,1981591.09,2880963.86,1,0,1
PLAN30T9NT,18-04-2025,P_BSP,CMO_DELHI,CUST0136,North,Coil,CR,High,114.9,Rail,741,40.3,23.8,1486.3,0,0.85,1429,3,1376.4,1392.1,2417,7,1,0,MIX60,46,BOXN,1,2850,2211.7,1.55,9.63,25029.47,58.5,89072.15,115.2116854,1.287778087,1936512.31,2110500.49,1,0,1
PLAN3W5UZB,19-04-2025,P_BSP,CMO_CHENNAI,CUST0374,South,Rod,A,Normal,22.7,Rail,504,40.8,17.5,1067,0,0.63,968.3,2,1099.7,464.9,2935.7,3,4,0,RT59,65,BRN,1,2750,1378.6,1.42,12.12,36265.88,35.9,48968.1,151.8157538,1.824891551,910977.88,1267960.93,1,0,1
PLANIKCIDK,20-04-2025,P_BSP,CMO_MUMBAI,CUST0256,West,Rod,HR,Normal,39.6,Rail,709,36.7,29.7,1295.8,0,0.91,1266.8,2,3057.4,890.2,2962.3,9,7,1,MIX60,50,BOBRN,0,2850,2962.3,2.34,3.14,0,82.3,76441.95,220.1262051,1.821514184,1779808.53,3825672.87,1,0,1
PLANWNNHJ7,21-04-2025,P_BSP,CMO_KOLKATA,CUST0244,East,Wire,TMT,VIP,99.9,Rail,340,37.4,6,411.5,0,0.97,408.6,3,2398.6,363.9,1652,3,8,1,RT45,57,BOBRN,4,2200,1652,4.04,9.88,37032.44,61.2,112493.27,89.83754904,1.47169773,959591.19,826623.18,0,0,1
PLANXVG0FN,22-04-2025,P_BSP,CMO_DELHI,CUST0177,North,Coil,S1,High,62.4,Rail,1529,42.3,46,1324.7,0,0.75,1240.8,4,2387.3,766.4,2874.9,6,8,1,RT58,45,BRN,5,2700,2847.1,2.29,0,0,75.5,81924.33,242.0550637,1.58287029,6238550.66,6890576.11,1,0,1
